I'm convinced that about half of what separates the successful entrepreneurs from the non-successful ones is pure perseverance. | Steve Jobs |  | motivational, work
If our love is conditional, our children will feel as though their very lives are built on shifting sands.  All of their energy will be focused outward, on trying to solve the mystery of what they must do to be loved by Dad. | Will Glennon |  | parenting, relationships
The pessimist sees difficulty in every opportunity. The optimist sees opportunity in every difficulty. | Winston Churchill |  | motivational, work
There is no old age. There is, as there always was, just you. | Carol Matthau |  | aging, life
It is not the strongest of the species that survive, nor the most intelligent, but the one most responsive to change. | Charles Darwin |  | adaptability
It's good sportsmanship to not pick up lost golf balls while they are still rolling. | Mark Twain |  | funny
If you want to succeed, double your failure rate. | Thomas J. Watson, Sr. |  | learning, work
I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel. | Maya Angelou |  | relationships
Whenever you find yourself on the side of the majority, it is time to pause and reflect. | Mark Twain |  | life
The greater danger for most of us is not that our aim is too high and we miss it, but that it is too low and we reach it. | Michelangelo |  | life, success
Difficulties strengthen the mind, as labor does the body. | Seneca |  | learning, life
The highest reward for a person's toil is not what they get for it, but what they become by it. | John Ruskin |  | learning, life
The starting point of all achievement is desire.  Weak desire brings weak results. | Napoleon Hill |  | motivational
Withhold no sacrifice.  Grudge no toil.  Seek no sordid gain. Fear no foe.  All will be well. | Winston Churchill |  | courage, success
Insanity: doing the same thing over and over again and expecting different results. | Albert Einstein |  | life, work
The larger the island of knowledge, the longer the shoreline of wonder. | James Madison |  | learning, life
Success in life is in direct proportion to what you do after you do what you are expected to do. | Brian Tracey |  | success, work
If you keep a green tree in your heart, someday a singing bird will come. | Chinese fortune |  | relationships, serendipity
The wisdom of life consists in the elimination of non-essentials. | Lin Yu-Tang |  | life
Success comes from doing what you enjoy.  If you don't enjoy it, how can it be called success? | David Maister |  | happiness, success
They that can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety. | Ben Franklin |  | freedom, government
Life does not have to be perfect to be wonderful. | Annette Funicello |  | life
Don't bend; don't water it down; don't try to make it logical; don't edit your own soul according to the fashion. Rather, follow your most intense obsessions mercilessly. | Franz Kafka |  | motivational
If you have good values, you will believe that you are a good person. | Brian Tracey |  | values
My mission in life is not merely to survive, but to thrive; and to do so with some passion, some compassion, some humor, and some style | Maya Angelou |  | life
